,beta,original,approx
81,0.8181818181818182,0.0003024499364983327,0.000274976795898639
82,0.8282828282828284,0.00030244982938709757,0.00027347935888869543
83,0.8383838383838385,0.00030244973826031854,0.0002719900764489999
84,0.8484848484848485,0.0003024496607325984,0.00027050890417233177
85,0.8585858585858587,0.00030244959477451826,0.00026903579789329775
86,0.8686868686868687,0.0003024495386595143,0.00026757071368701575
87,0.8787878787878789,0.0003024494909186814,0.00026611360786780455
88,0.888888888888889,0.00030244945030232287,0.00026466443698788144
89,0.8989898989898991,0.000302449415747237,0.00026322315783606663
90,0.9090909090909092,0.00030244938634888603,0.00026178972743649495
91,0.9191919191919192,0.00030244936133771863,0.0002603641030473339
92,0.9292929292929294,0.00030244934005902536,0.00025894624215950986
93,0.9393939393939394,0.00030244932195580033,0.0002575361024954402
94,0.9494949494949496,0.0003024493065541613,0.00025613364200777254
95,0.9595959595959597,0.0003024492934509443,0.0002547388188781313
96,0.9696969696969697,0.0003024492823031505,0.0002533515915158703
97,0.9797979797979799,0.0003024492728189676,0.0002519719185568334
98,0.98989898989899,0.0003024492647501312,0.0002505997588621202
99,1.0,0.00030244925788542573,0.0002492350715168599
