,beta,original,approx
41,0.4141414141414142,0.0003029100399806286,0.000332877524464715
42,0.42424242424242425,0.00030284127056811255,0.00033157689817410257
43,0.43434343434343436,0.00030278276377325273,0.00033028135371877034
44,0.4444444444444445,0.00030273298808200375,0.00032899087124286125
45,0.4545454545454546,0.00030269064053168503,0.0003277054309680994
46,0.4646464646464647,0.0003026546126037348,0.00032642501319348697
47,0.4747474747474748,0.00030262396120636653,0.00032514959829500235
48,0.48484848484848486,0.00030259788398755095,0.0003238791667252993
49,0.494949494949495,0.00030257569833209844,0.0003226136990134075
50,0.5050505050505051,0.0003025568234930544,0.0003213531757644338
51,0.5151515151515152,0.00030254076538966865,0.0003200975776592654
52,0.5252525252525253,0.00030252710367399807,0.00031884688545427356
53,0.5353535353535354,0.00030251548072759017,0.0003176010799810185
54,0.5454545454545455,0.0003025055923002171,0.00031636014214595594
55,0.5555555555555556,0.0003024971795456125,0.0003151240529301442
56,0.5656565656565657,0.00030249002224573383,0.000313892793388953
57,0.5757575757575758,0.00030248393304618376,0.00031266634465177263
58,0.5858585858585859,0.00030247875255189267,0.00031144468792172536
59,0.595959595959596,0.0003024743451546841,0.00031022780447537683
60,0.6060606060606061,0.00030247059548350164,0.0003090156756624493
61,0.6161616161616162,0.00030246740538437706,0.00030780828290553593
62,0.6262626262626263,0.0003024646913510847,0.00030660560769981576
63,0.6363636363636365,0.00030246238233922504,0.00030540763161277033
64,0.6464646464646465,0.0003024604179065179,0.0003042143362839012
65,0.6565656565656566,0.0003024587466306234,0.0003030257034244484
66,0.6666666666666667,0.000302457324763076,0.00030184171481711014
67,0.6767676767676768,0.0003024561150840941,0.00030066235231576385
68,0.686868686868687,0.00030245508592828996,0.00029948759784518755
69,0.696969696969697,0.0003024542103557744,0.0002983174334007836
70,0.7070707070707072,0.0003024534654469599,0.00029715184104830197
71,0.7171717171717172,0.00030245283170260163,0.00029599080292356584
72,0.7272727272727273,0.00030245229253337213,0.0002948343012321976
73,0.7373737373737375,0.0003024518338256072,0.00029368231824934655
74,0.7474747474747475,0.00030245144357185754,0.00029253483631941644
75,0.7575757575757577,0.00030245111155657287,0.0002913918378557957
76,0.7676767676767677,0.00030245082908869294,0.00029025330534058737
77,0.7777777777777778,0.0003024505887741447,0.00028911922132434086
78,0.787878787878788,0.0003024503843222894,0.00028798956842578447
79,0.797979797979798,0.00030245021038125485,0.00028686432933155894
80,0.8080808080808082,0.00030245006239784113,0.0002857434867959521
81,0.8181818181818182,0.0003024499364983327,0.0002846270236406348
82,0.8282828282828284,0.00030244982938709757,0.0002835149227543972
83,0.8383838383838385,0.00030244973826031854,0.0002824071670928868
84,0.8484848484848485,0.0003024496607325984,0.0002813037396783474
85,0.8585858585858587,0.00030244959477451826,0.0002802046235993583
86,0.8686868686868687,0.0003024495386595143,0.0002791098020105756
87,0.8787878787878789,0.0003024494909186814,0.000278019258132474
88,0.888888888888889,0.00030244945030232287,0.00027693297525108955
89,0.8989898989898991,0.000302449415747237,0.00027585093671776315
90,0.9090909090909092,0.00030244938634888603,0.00027477312594888616
91,0.9191919191919192,0.00030244936133771863,0.00027369952642564534
92,0.9292929292929294,0.00030244934005902536,0.0002726301216937704
93,0.9393939393939394,0.00030244932195580033,0.00027156489536328147
94,0.9494949494949496,0.0003024493065541613,0.00027050383110823785
95,0.9595959595959597,0.0003024492934509443,0.0002694469126664881
96,0.9696969696969697,0.0003024492823031505,0.00026839412383942036
97,0.9797979797979799,0.0003024492728189676,0.0002673454484917147
98,0.98989898989899,0.0003024492647501312,0.00026630087055109505
99,1.0,0.00030244925788542573,0.00026526037400808364
